  0.0000000E+00  -429.5984       285.2339    
   5.000000      -518.8339       288.2154    
   10.00000      -625.0549       259.5271    
   15.00000      -657.2360       207.1010    
   20.00000      -616.1381       201.4401    
   25.00000      -535.1025       238.1012    
   30.00000      -413.9286       254.9097    
   35.00000      -333.4834       237.5941    
   40.00000      -199.8831       146.2394    
   45.00000      -108.6796       65.39386    
   50.00000      -126.6872       76.47598    
   55.00000      -160.5639       102.0638    
   60.00000      -107.6987       177.3864    
   65.00000      -69.40131       231.6640    
   70.00000      -113.6727       124.9543    
   75.00000      -94.61723       120.9897    
   80.00000      -84.48389       115.0463    
   85.00000      -87.72411       90.94016    
   90.00000      -98.54926       40.69549    
   95.00000      -85.70998       34.67309    
   100.0000      -58.41641       60.58045    
   105.0000      -48.02492       41.30680    
   110.0000      -11.87330       57.82897    
   115.0000       54.76009       92.92458    
   120.0000       97.06036       117.5038    
   125.0000       98.37156       89.78793    
   130.0000       110.9458       110.0007    
   135.0000       148.3029       150.0172    
   140.0000       274.3093       212.8712    
   145.0000       366.1864       250.2800    
   150.0000       316.1559       182.1124    
   155.0000       283.3264       115.0736    
   160.0000       298.7348       126.6636    
   165.0000       266.4534       115.3131    
   170.0000       286.3591       104.5077    
   175.0000       281.8040       101.5054    
   180.0000       249.9544       95.39241    
   185.0000       257.1909       57.36269    
   190.0000       295.5847       69.28338    
   195.0000       383.1746       108.3222    
   200.0000       388.0640       94.22662    
   205.0000       339.9880       93.68042    
   210.0000       290.3697       64.67053    
   215.0000       292.1651       65.32903    
   220.0000       263.2149       34.56534    
   225.0000       389.1239       159.9051    
   230.0000       479.3472       172.9369    
   235.0000       547.4326       171.8277    
   240.0000       559.3746       218.4961    
   245.0000       443.5733       164.9887    
   250.0000       378.5709       117.8159    
   255.0000       501.6431       173.0399    
   260.0000       698.1495       216.2230    
   265.0000       693.0765       131.7657    
   270.0000       679.4200       105.3983    
   275.0000       668.4987       175.4398    
   280.0000       614.9762       255.4214    
   285.0000       522.6351       237.4041    
   290.0000       383.0352       120.2503    
   295.0000       360.6472       114.5463    
   300.0000       338.9214       153.6247    
   305.0000       265.8483       119.3961    
   310.0000       183.8865       95.29329    
   315.0000       136.2071       87.34222    
   320.0000       86.44316       60.44963    
   325.0000       61.79628       57.85601    
   330.0000       25.64416       47.67473    
   335.0000      -4.416228       23.25685    
   340.0000      -17.19452       5.320452    
   345.0000      -24.88017       7.664635    
   350.0000      -35.11655       9.644147    
   355.0000      -44.32961       8.326943    
   360.0000      -52.57417       5.552644    
   365.0000      -58.73499       3.891359    
   370.0000      -63.00296       2.756317    
   375.0000      -65.50764       2.927408    
   380.0000      -67.20987       3.625401    
   385.0000      -66.74297       4.386638    
   390.0000      -67.12620       4.282907    
   395.0000      -66.74766       4.553617    
400 -65.79723 4.491221
405 -62.68436 2.925597
410 -60.01215 2.623203
415 -58.24185 3.579806
420 -55.75883 4.557917
425 -52.61859 6.555981
430 -50.59374 7.198701
435 -49.65393 6.913038
440 -48.35981 5.247008
445 -47.90646 3.590470
450 -47.00827 5.245798
455 -43.71407 12.38027
460 -42.30845 14.59585
465 -30.68623 30.00331
470 -12.94899 76.09871
475 -13.04062 57.96723
480 -0.7940772 72.65500
485 12.32571 96.86216
490 33.77201 129.2179
495 55.73565 171.0322
500 0.2999699 123.9873
505 25.03289 151.7375
510 38.32703 170.3772
515 -17.64735 80.04220
520 53.37605 136.6698
525 107.9774 138.5771
530 75.20753 158.8433
535 313.6072 367.0885
540 652.4230 291.7702
545 921.8895 156.8755
550 928.4332 145.4768
555 875.7274 257.1033
560 718.0410 212.6822
565 715.2068 187.9628
570 537.5157 132.3266
575 433.3698 117.4443
580 387.8015 149.7021
585 233.7048 72.30669
590 224.1352 51.08283
595 204.0155 52.75212
600 198.6187 51.12940
605 198.1784 67.11961
610 175.9174 72.68215
615 171.1819 59.28569
620 191.0809 115.7453
625 202.3702 142.9638
630 194.1545 130.0821
635 165.5915 64.81344
640 153.3787 26.33622
645 147.9120 31.71888
650 161.9810 80.51659
655 163.4036 131.5406
660 164.6029 160.1280
665 151.1942 117.6589
670 138.1011 81.95932
675 135.5875 76.80681
680 135.0439 71.44524
685 124.3342 27.02098
690 131.3695 29.50356
695 138.0130 38.41555
700 143.1801 31.52769
705 142.4218 24.43132
710 144.9596 29.95904
715 143.7601 36.00017
720 153.7944 39.28728
725 175.6303 43.93340
730 187.2644 40.82058
735 173.4203 39.10813
740 150.4868 37.18299
745 127.6459 20.47213
750 119.7380 11.62376
755 119.7092 15.87943
760 132.4443 20.51336
765 133.1303 19.96255
770 138.4146 12.68764
775 145.7404 12.29924
780 147.3410 12.89203
785 152.9997 16.11647
790 157.3410 20.47761
795 173.0513 28.14819
800 175.7345 30.32666
805 177.3479 32.48318
810 185.1973 39.06947
815 186.6356 44.84729
820 173.7877 34.35023
825 164.4877 34.02891
830 168.4501 43.24364
835 172.6366 46.26097
840 176.8978 44.57827
845 175.1665 34.51508
850 173.5532 39.30458
855 156.5013 34.72519
