>  	  23
 >  	  255  #ffff7f
 0.000000 	 -1.602946 
5.000000 	 -1.643858 
10.000000 	 -1.691802 
15.000000 	 -1.641197 
20.000000 	 -1.923734 
25.000000 	 -2.028675 
30.000000 	 -2.046362 
35.000000 	 -2.223376 
40.000000 	 -2.376077 
45.000000 	 -2.402069 
50.000000 	 -2.471723 
55.000000 	 -2.342830 
60.000000 	 -2.435543 
65.000000 	 -2.487212 
70.000000 	 -2.682477 
75.000000 	 -2.738521 
80.000000 	 -2.750929 
85.000000 	 -2.779743 
90.000000 	 -2.807126 
95.000000 	 -2.847114 
100.000000 	 -2.871423 
105.000000 	 -2.899161 
110.000000 	 -2.919194 
115.000000 	 -2.928532 
120.000000 	 -2.931821 
125.000000 	 -3.004615 
130.000000 	 -3.067495 
135.000000 	 -3.145017 
140.000000 	 -3.177283 
145.000000 	 -3.173681 
150.000000 	 -3.042495 
155.000000 	 -3.038004 
160.000000 	 -3.392219 
165.000000 	 -3.471088 
170.000000 	 -3.456155 
175.000000 	 -3.459503 
180.000000 	 -3.487535 
185.000000 	 -3.498267 
190.000000 	 -3.508386 
195.000000 	 -3.470581 
200.000000 	 -3.524244 
205.000000 	 -3.511950 
210.000000 	 -3.381387 
215.000000 	 -3.366461 
220.000000 	 -3.175698 
225.000000 	 -2.796169 
230.000000 	 -3.314524 
235.000000 	 -3.573861 
240.000000 	 -3.603103 
245.000000 	 -3.562574 
250.000000 	 -3.590658 
255.000000 	 -3.597346 
260.000000 	 -3.205751 
265.000000 	 -3.207130 
270.000000 	 -3.116107 
275.000000 	 -3.109210 
280.000000 	 -3.052884 
285.000000 	 -3.013850 
290.000000 	 -2.827042 
295.000000 	 -2.663013 
300.000000 	 -2.544335 
305.000000 	 -2.513180 
310.000000 	 -2.428682 
315.000000 	 -2.410126 
320.000000 	 -2.307172 
325.000000 	 -2.131761 
330.000000 	 -2.142529 
335.000000 	 -1.990209 
340.000000 	 -2.137429 
345.000000 	 -1.999595 
350.000000 	 -2.029531 
355.000000 	 -1.714971 
360.000000 	 -1.846583 
365.000000 	 -1.481327 
370.000000 	 -1.264051 
375.000000 	 -1.214648 
380.000000 	 -1.182813 
385.000000 	 -0.992927 
390.000000 	 -0.888568 
395.000000 	 -0.742544 
400.000000 	 -0.684451 
405.000000 	 -0.574111 
410.000000 	 -0.399160 
415.000000 	 -0.241720 
420.000000 	 -0.170535 
425.000000 	 -0.120818 
430.000000 	 -0.088293 
435.000000 	 -0.014440 
440.000000 	 0.050461 
445.000000 	 0.121528 
450.000000 	 0.235491 
455.000000 	 0.282700 
460.000000 	 0.188958 
465.000000 	 0.288804 
470.000000 	 0.649254 
475.000000 	 0.690227 
480.000000 	 0.568139 
485.000000 	 0.655943 
490.000000 	 0.751407 
495.000000 	 0.765482 
500.000000 	 0.643509 
505.000000 	 0.761745 
510.000000 	 0.759078 
515.000000 	 0.700113 
520.000000 	 0.636257 
525.000000 	 0.638958 
530.000000 	 0.541157 
535.000000 	 0.384814 
540.000000 	 0.303195 
545.000000 	 0.304649 
550.000000 	 0.255885 
555.000000 	 0.204043 
560.000000 	 0.197820 
565.000000 	 0.186645 
570.000000 	 0.143864 
575.000000 	 0.102985 
580.000000 	 0.062251 
585.000000 	 0.024883 
