Pressure (Pa): comment                                           
       24192
     5.000    -3.066     44.98    52.948     0 0 0 0 91
     5.000    -3.540     58.68    65.968     0 0 0 0 91
     5.000    -4.014     72.23    78.988     0 0 0 0 91
     5.000    -4.488     85.61    92.008     0 0 0 0 91
     5.000    -4.963     98.85   105.055     0 0 0 0 91
     5.000    -5.437    111.90   118.075     0 0 0 0 91
     5.000    -5.911    124.79   131.095     0 0 0 0 91
     5.000    -6.860    150.10   157.162     0 0 0 0 91
     5.000    -7.334    162.50   170.182     0 0 0 0 91
     5.000    -7.808    174.73   183.202     0 0 0 0 91
     5.000    -8.282    186.80   196.221     0 0 0 0 91
     5.000    -9.231    210.47   222.289     0 0 0 0 91
     5.000   -10.179    233.45   248.328     0 0 0 0 91
     5.000   -11.591    266.54   287.113     0 0 014 91
     5.000   -12.076    280.75   300.911     0 0 0 0141
     5.000   -13.025    308.27   327.909     0 0 0 0141
     5.000   -13.973    335.42   354.879     0 0 0 0141
     5.000   -14.922    362.25   381.877     0 0 0 0141
     5.000   -15.870    388.69   408.846     0 0 0 0141
     5.000   -17.800    441.34   463.753     0 0 020141
     5.000   -19.664    467.57   524.275     0 0 0 0201
     5.000   -21.561    494.48   585.841     0 0 0 0201
     5.000   -23.458    521.59   647.374     0 0 0 0201
     5.000   -25.355    548.84   708.878     0 0 0 0201
     5.000   -27.252    576.13   770.354     0 0 0 0201
     5.000   -29.149    603.39   831.795     0 0 0 0201
     5.000   -31.046    630.53   893.207     0 0 0 0201
     5.000   -32.942    657.49   954.558     0 0 0 0201
     5.000   -34.839    684.23  1015.907     0 0 0 0201
     5.000   -36.736    710.64  1077.229     0 0 0 0201
     5.000   -39.582    749.69  1169.177     0 0 0 0201
     5.000   -42.427    788.22  1261.026     0 0 0 0201
     5.000   -45.273    826.17  1353.009     0 0 0 0201
     5.000   -48.118    863.23  1445.059     0 0 0 0201
     5.000   -50.963    899.46  1537.058     0 0 0 0201
     5.000   -53.809    934.98  1629.021     0 0 0 0201
     5.000   -56.654    969.81  1720.916     0 0 0 0201
     5.000   -59.500   1004.07  1812.805     0 0 0 0201
     5.000   -62.345   1037.81  1904.645     0 0 0 0201
     5.000   -65.190   1071.10  1996.443     0 0 0 0201
     5.000   -68.036   1104.04  2088.241     0 0 0 0201
     5.000   -72.778   1158.21  2241.124     0 0 0 0201
     5.000   -77.521   1211.36  2393.941     0 0 0 0201
     5.000   -82.263   1263.24  2546.659     0 0 0 0201
     5.000   -87.659   1320.00  2720.327     0 0 023201
     5.000   -91.748   1328.18  2852.479     0 0 0 0231
     5.000   -96.490   1337.66  3005.942     0 0 0 0231
     5.000  -101.232   1347.15  3159.617     0 0 0 0231
     5.000  -105.975   1356.63  3313.532     0 0 0 0231
     5.000  -110.717   1366.12  3467.626     0 0 0 0231
     5.000  -115.459   1375.60  3621.915     0 0 0 0231
     5.000  -120.202   1385.09  3776.426     0 0 0 0231
     5.000  -124.944   1394.57  3931.104     0 0 0 0231
     5.000  -129.686   1400.89  4085.976     0 0 0 0231
     5.000  -134.429   1402.98  4241.095     0 0 0 0231
     5.000  -139.171   1405.07  4396.413     0 0 0 0231
     5.000  -143.913   1407.16  4551.951     0 0 0 0231
     5.000  -148.656   1409.25  4707.739     0 0 0 0231
     5.000  -153.398   1411.34  4863.720     0 0 0 0231
     5.000  -158.140   1413.43  5019.914     0 0 0 0231
     5.000  -162.883   1415.52  5176.350     0 0 0 0231
     5.000  -167.625   1417.61  5332.973     0 0 0 0231
     5.000  -172.367   1419.70  5489.803     0 0 0 0231
