 Iteration #:           4
   Depth    K_x     K_t     K_y
  218.96    5.00    0.00    5.00
  228.49    5.05    0.00    5.05
  238.02    5.09    0.00    5.09
  247.55    5.13    0.00    5.13
  257.08    5.17    0.00    5.17
  266.60    5.21    0.00    5.21
  276.13    5.25    0.00    5.25
  285.66    5.29    0.00    5.29
  290.43    5.31    0.00    5.31
  295.19    5.33    0.00    5.33
  299.95    5.35    0.00    5.35
  304.72    5.37    0.00    5.37
  314.25    5.41    0.00    5.41
  323.77    5.44    0.00    5.44
  333.30    5.48    0.00    5.48
  342.83    5.51    0.00    5.51
  352.36    5.53    0.00    5.53
  361.89    5.56    0.00    5.56
  371.42    5.59    0.00    5.59
  380.94    5.63    0.00    5.63
   26.44    4.06    0.00    4.06
   29.26    4.11    0.00    4.11
   31.16    4.15    0.00    4.15
   33.07    4.19    0.00    4.19
   34.98    4.24    0.00    4.24
   37.84    4.29    0.00    4.29
   39.71    4.34    0.00    4.34
   43.59    4.40    0.00    4.40
   46.41    4.45    0.00    4.45
   49.27    4.51    0.00    4.51
   52.13    4.57    0.00    4.57
   54.99    4.61    0.00    4.61
   57.85    4.65    0.00    4.65
   60.71    4.68    0.00    4.68
   63.57    4.70    0.00    4.70
   66.43    4.71    0.00    4.71
   71.19    4.71    0.00    4.71
   75.96    4.69    0.00    4.69
   80.72    4.64    0.00    4.64
   85.49    4.58    0.00    4.58
   90.25    4.51    0.00    4.51
   95.02    4.43    0.00    4.43
  171.26    4.76    0.00    4.76
  176.03    4.79    0.00    4.79
  180.79    4.81    0.00    4.81
  185.56    4.83    0.00    4.83
  190.32    4.86    0.00    4.86
  195.09    4.88    0.00    4.88
  199.86    4.90    0.00    4.90
  204.62    4.93    0.00    4.93
  209.39    4.95    0.00    4.95
  214.15    4.97    0.00    4.97
  218.92    5.00    0.00    5.00
  228.45    5.05    0.00    5.05
  237.98    5.09    0.00    5.09
  247.51    5.13    0.00    5.13
  257.04    5.17    0.00    5.17
  266.57    5.21    0.00    5.21
  276.10    5.25    0.00    5.25
  285.63    5.29    0.00    5.29
  290.40    5.31    0.00    5.31
  295.16    5.33    0.00    5.33
  299.93    5.35    0.00    5.35
  304.69    5.37    0.00    5.37
  314.22    5.41    0.00    5.41
  323.75    5.44    0.00    5.44
  333.29    5.48    0.00    5.48
  342.82    5.51    0.00    5.51
  352.35    5.53    0.00    5.53
  361.88    5.56    0.00    5.56
  371.41    5.59    0.00    5.59
  380.94    5.63    0.00    5.63
   26.34    4.06    0.00    4.06
   28.92    4.10    0.00    4.10
   30.83    4.14    0.00    4.14
   32.74    4.18    0.00    4.18
   34.64    4.23    0.00    4.23
   37.65    4.30    0.00    4.30
   39.27    4.36    0.00    4.36
   43.23    4.39    0.00    4.39
   46.09    4.45    0.00    4.45
   48.95    4.51    0.00    4.51
   51.82    4.56    0.00    4.56
   54.68    4.61    0.00    4.61
   57.54    4.65    0.00    4.65
   60.40    4.67    0.00    4.67
   63.26    4.70    0.00    4.70
   66.13    4.71    0.00    4.71
   70.89    4.72    0.00    4.72
   75.67    4.70    0.00    4.70
   80.44    4.67    0.00    4.67
   85.20    4.61    0.00    4.61
   89.97    4.55    0.00    4.55
   94.74    4.47    0.00    4.47
  158.12    4.69    0.00    4.69
  161.52    4.71    0.00    4.71
  166.29    4.74    0.00    4.74
  171.06    4.76    0.00    4.76
  175.83    4.78    0.00    4.78
  180.60    4.81    0.00    4.81
  185.37    4.83    0.00    4.83
  190.14    4.85    0.00    4.85
  194.91    4.88    0.00    4.88
  199.68    4.90    0.00    4.90
  204.44    4.92    0.00    4.92
  209.22    4.95    0.00    4.95
  213.98    4.97    0.00    4.97
  218.75    5.00    0.00    5.00
  228.29    5.05    0.00    5.05
  237.83    5.09    0.00    5.09
  247.37    5.13    0.00    5.13
  256.91    5.17    0.00    5.17
  266.45    5.21    0.00    5.21
  275.99    5.25    0.00    5.25
  285.53    5.29    0.00    5.29
  290.30    5.31    0.00    5.31
  295.07    5.33    0.00    5.33
  299.84    5.35    0.00    5.35
  304.61    5.37    0.00    5.37
  314.15    5.41    0.00    5.41
  323.69    5.44    0.00    5.44
  333.23    5.48    0.00    5.48
  342.76    5.50    0.00    5.50
  352.30    5.53    0.00    5.53
  361.84    5.56    0.00    5.56
  371.38    5.59    0.00    5.59
  380.92    5.63    0.00    5.63
   27.92    4.06    0.00    4.06
   28.91    4.09    0.00    4.09
   30.80    4.12    0.00    4.12
   31.85    4.16    0.00    4.16
   40.33    4.35    0.00    4.35
   43.20    4.39    0.00    4.39
   46.06    4.45    0.00    4.45
   48.92    4.51    0.00    4.51
   51.78    4.56    0.00    4.56
   54.64    4.60    0.00    4.60
   57.51    4.64    0.00    4.64
   60.37    4.67    0.00    4.67
   63.23    4.70    0.00    4.70
   66.09    4.72    0.00    4.72
   70.86    4.73    0.00    4.73
   75.63    4.72    0.00    4.72
   80.40    4.68    0.00    4.68
   85.17    4.64    0.00    4.64
   89.94    4.58    0.00    4.58
   94.71    4.51    0.00    4.51
   99.48    4.45    0.00    4.45
  158.28    4.69    0.00    4.69
  161.49    4.71    0.00    4.71
  166.26    4.74    0.00    4.74
  171.03    4.76    0.00    4.76
  175.80    4.78    0.00    4.78
  180.57    4.81    0.00    4.81
  185.34    4.83    0.00    4.83
  190.12    4.85    0.00    4.85
  194.88    4.88    0.00    4.88
  199.66    4.90    0.00    4.90
  204.43    4.92    0.00    4.92
  209.19    4.95    0.00    4.95
  213.97    4.97    0.00    4.97
  218.74    5.00    0.00    5.00
  228.28    5.05    0.00    5.05
  237.82    5.09    0.00    5.09
  247.36    5.13    0.00    5.13
  256.90    5.17    0.00    5.17
  266.44    5.21    0.00    5.21
  275.98    5.25    0.00    5.25
  285.52    5.29    0.00    5.29
  290.29    5.31    0.00    5.31
  295.06    5.33    0.00    5.33
  299.83    5.35    0.00    5.35
  304.60    5.37    0.00    5.37
  314.14    5.41    0.00    5.41
  323.68    5.44    0.00    5.44
  333.22    5.48    0.00    5.48
  342.76    5.50    0.00    5.50
  352.30    5.53    0.00    5.53
  361.84    5.56    0.00    5.56
  371.38    5.59    0.00    5.59
  380.92    5.63    0.00    5.63
   25.18    4.03    0.00    4.03
   38.16    4.34    0.00    4.34
   40.44    4.34    0.00    4.34
   43.30    4.40    0.00    4.40
   46.16    4.45    0.00    4.45
   49.03    4.51    0.00    4.51
   51.89    4.56    0.00    4.56
   54.75    4.60    0.00    4.60
   57.61    4.64    0.00    4.64
   60.47    4.67    0.00    4.67
   63.33    4.70    0.00    4.70
   66.19    4.72    0.00    4.72
   70.96    4.73    0.00    4.73
   75.73    4.72    0.00    4.72
   80.50    4.70    0.00    4.70
   85.27    4.66    0.00    4.66
   90.04    4.61    0.00    4.61
   94.81    4.54    0.00    4.54
   99.57    4.47    0.00    4.47
  158.43    4.69    0.00    4.69
  161.57    4.71    0.00    4.71
  166.34    4.74    0.00    4.74
  171.10    4.76    0.00    4.76
  175.87    4.78    0.00    4.78
  180.64    4.81    0.00    4.81
  185.41    4.83    0.00    4.83
  190.18    4.85    0.00    4.85
  194.95    4.88    0.00    4.88
  199.72    4.90    0.00    4.90
  204.49    4.92    0.00    4.92
  209.25    4.95    0.00    4.95
  214.02    4.97    0.00    4.97
  218.79    5.00    0.00    5.00
  228.33    5.05    0.00    5.05
  237.87    5.09    0.00    5.09
  247.40    5.13    0.00    5.13
  256.94    5.17    0.00    5.17
  266.48    5.21    0.00    5.21
  276.01    5.25    0.00    5.25
  285.55    5.29    0.00    5.29
  290.32    5.31    0.00    5.31
  295.09    5.33    0.00    5.33
  299.86    5.35    0.00    5.35
  304.63    5.37    0.00    5.37
  314.16    5.41    0.00    5.41
  323.70    5.44    0.00    5.44
  333.24    5.48    0.00    5.48
  342.78    5.50    0.00    5.50
  352.31    5.53    0.00    5.53
  361.85    5.56    0.00    5.56
  371.39    5.59    0.00    5.59
  380.93    5.63    0.00    5.63
   37.60    4.33    0.00    4.33
   40.36    4.34    0.00    4.34
   43.23    4.39    0.00    4.39
   46.09    4.45    0.00    4.45
   48.95    4.51    0.00    4.51
   51.81    4.55    0.00    4.55
   54.67    4.60    0.00    4.60
   57.53    4.64    0.00    4.64
   60.40    4.67    0.00    4.67
   63.26    4.70    0.00    4.70
   66.12    4.72    0.00    4.72
   70.89    4.73    0.00    4.73
   75.66    4.73    0.00    4.73
   80.43    4.71    0.00    4.71
   85.20    4.68    0.00    4.68
   89.97    4.63    0.00    4.63
   94.74    4.57    0.00    4.57
   99.51    4.51    0.00    4.51
  104.28    4.46    0.00    4.46
  158.58    4.69    0.00    4.69
  161.51    4.71    0.00    4.71
  166.28    4.74    0.00    4.74
  171.05    4.76    0.00    4.76
  175.82    4.78    0.00    4.78
  180.59    4.81    0.00    4.81
  185.36    4.83    0.00    4.83
  190.13    4.85    0.00    4.85
  194.90    4.88    0.00    4.88
  199.67    4.90    0.00    4.90
  204.44    4.92    0.00    4.92
  209.21    4.95    0.00    4.95
  213.98    4.97    0.00    4.97
  218.75    5.00    0.00    5.00
  228.29    5.05    0.00    5.05
  237.83    5.09    0.00    5.09
  247.37    5.13    0.00    5.13
  256.91    5.17    0.00    5.17
  266.45    5.21    0.00    5.21
  275.99    5.25    0.00    5.25
  285.53    5.29    0.00    5.29
  290.30    5.31    0.00    5.31
  295.07    5.33    0.00    5.33
  299.84    5.35    0.00    5.35
  304.61    5.37    0.00    5.37
  314.14    5.41    0.00    5.41
  323.69    5.44    0.00    5.44
  333.22    5.48    0.00    5.48
  342.76    5.50    0.00    5.50
  352.30    5.53    0.00    5.53
  361.84    5.56    0.00    5.56
  371.38    5.59    0.00    5.59
  380.92    5.64    0.00    5.64
   37.05    4.32    0.00    4.32
   40.28    4.33    0.00    4.33
   43.14    4.39    0.00    4.39
   46.00    4.45    0.00    4.45
   48.87    4.50    0.00    4.50
   51.73    4.55    0.00    4.55
   54.59    4.59    0.00    4.59
   57.45    4.63    0.00    4.63
   60.32    4.66    0.00    4.66
   63.18    4.69    0.00    4.69
   66.04    4.72    0.00    4.72
   70.81    4.74    0.00    4.74
   75.58    4.74    0.00    4.74
   80.35    4.72    0.00    4.72
   85.12    4.69    0.00    4.69
   89.89    4.65    0.00    4.65
   94.67    4.60    0.00    4.60
   99.44    4.54    0.00    4.54
  104.21    4.49    0.00    4.49
  158.74    4.69    0.00    4.69
  161.46    4.71    0.00    4.71
  166.23    4.74    0.00    4.74
  171.00    4.76    0.00    4.76
  175.77    4.78    0.00    4.78
  180.54    4.81    0.00    4.81
  185.31    4.83    0.00    4.83
  190.08    4.85    0.00    4.85
  194.85    4.88    0.00    4.88
  199.62    4.90    0.00    4.90
  204.40    4.92    0.00    4.92
  209.17    4.95    0.00    4.95
  213.94    4.97    0.00    4.97
  218.71    5.00    0.00    5.00
  228.25    5.05    0.00    5.05
  237.79    5.09    0.00    5.09
  247.33    5.13    0.00    5.13
  256.88    5.17    0.00    5.17
  266.42    5.21    0.00    5.21
  275.96    5.25    0.00    5.25
  285.50    5.29    0.00    5.29
  290.27    5.31    0.00    5.31
  295.04    5.33    0.00    5.33
  299.81    5.35    0.00    5.35
  304.58    5.37    0.00    5.37
  314.12    5.41    0.00    5.41
  323.67    5.44    0.00    5.44
  333.21    5.48    0.00    5.48
  342.75    5.50    0.00    5.50
  352.29    5.53    0.00    5.53
  361.83    5.56    0.00    5.56
  371.38    5.59    0.00    5.59
  380.92    5.64    0.00    5.64
   36.50    4.31    0.00    4.31
   40.27    4.33    0.00    4.33
   43.13    4.38    0.00    4.38
   45.99    4.44    0.00    4.44
   48.85    4.50    0.00    4.50
   51.72    4.54    0.00    4.54
   54.58    4.59    0.00    4.59
   57.44    4.62    0.00    4.62
   60.30    4.66    0.00    4.66
   63.17    4.69    0.00    4.69
   66.03    4.72    0.00    4.72
   70.80    4.74    0.00    4.74
   75.57    4.75    0.00    4.75
   80.34    4.73    0.00    4.73
   85.11    4.70    0.00    4.70
   89.88    4.67    0.00    4.67
   94.66    4.62    0.00    4.62
   99.43    4.57    0.00    4.57
  104.20    4.52    0.00    4.52
  108.97    4.47    0.00    4.47
  158.89    4.69    0.00    4.69
  161.45    4.71    0.00    4.71
  166.22    4.74    0.00    4.74
  170.99    4.76    0.00    4.76
  175.76    4.78    0.00    4.78
  180.53    4.81    0.00    4.81
  185.30    4.83    0.00    4.83
  190.07    4.85    0.00    4.85
  194.85    4.88    0.00    4.88
  199.62    4.90    0.00    4.90
  204.39    4.92    0.00    4.92
  209.16    4.95    0.00    4.95
  213.93    4.97    0.00    4.97
  218.70    5.00    0.00    5.00
  228.24    5.05    0.00    5.05
  237.79    5.09    0.00    5.09
  247.33    5.13    0.00    5.13
  256.87    5.17    0.00    5.17
  266.41    5.21    0.00    5.21
  275.95    5.25    0.00    5.25
  285.50    5.29    0.00    5.29
  290.27    5.31    0.00    5.31
  295.04    5.33    0.00    5.33
  299.81    5.35    0.00    5.35
  304.58    5.37    0.00    5.37
  314.12    5.41    0.00    5.41
  323.66    5.44    0.00    5.44
  333.21    5.48    0.00    5.48
  342.75    5.50    0.00    5.50
  352.29    5.53    0.00    5.53
  361.83    5.56    0.00    5.56
  371.37    5.59    0.00    5.59
  380.92    5.64    0.00    5.64
   37.51    4.31    0.00    4.31
   40.38    4.32    0.00    4.32
   43.24    4.37    0.00    4.37
   46.10    4.43    0.00    4.43
   48.96    4.49    0.00    4.49
   51.82    4.53    0.00    4.53
   54.68    4.58    0.00    4.58
   57.55    4.62    0.00    4.62
   60.41    4.66    0.00    4.66
   63.27    4.69    0.00    4.69
   66.13    4.71    0.00    4.71
   70.90    4.74    0.00    4.74
   75.67    4.75    0.00    4.75
   80.44    4.74    0.00    4.74
   85.21    4.72    0.00    4.72
   89.98    4.69    0.00    4.69
   94.75    4.64    0.00    4.64
   99.52    4.59    0.00    4.59
  104.29    4.53    0.00    4.53
  109.06    4.48    0.00    4.48
  159.04    4.69    0.00    4.69
  161.52    4.71    0.00    4.71
  166.29    4.74    0.00    4.74
  171.06    4.76    0.00    4.76
  175.83    4.78    0.00    4.78
  180.60    4.81    0.00    4.81
  185.37    4.83    0.00    4.83
  190.14    4.85    0.00    4.85
  194.91    4.88    0.00    4.88
  199.68    4.90    0.00    4.90
  204.45    4.92    0.00    4.92
  209.22    4.95    0.00    4.95
  213.99    4.97    0.00    4.97
  218.76    5.00    0.00    5.00
  228.30    5.05    0.00    5.05
  237.84    5.09    0.00    5.09
  247.37    5.13    0.00    5.13
  256.91    5.17    0.00    5.17
  266.45    5.21    0.00    5.21
  275.99    5.25    0.00    5.25
  285.53    5.29    0.00    5.29
  290.30    5.31    0.00    5.31
  295.07    5.33    0.00    5.33
  299.84    5.35    0.00    5.35
  304.61    5.37    0.00    5.37
  314.15    5.41    0.00    5.41
  323.69    5.44    0.00    5.44
  333.23    5.48    0.00    5.48
  342.76    5.50    0.00    5.50
  352.30    5.53    0.00    5.53
  361.84    5.56    0.00    5.56
  371.38    5.59    0.00    5.59
  380.92    5.64    0.00    5.64
   35.39    4.28    0.00    4.28
   37.41    4.30    0.00    4.30
   40.27    4.31    0.00    4.31
   43.13    4.37    0.00    4.37
   45.99    4.43    0.00    4.43
   48.86    4.48    0.00    4.48
   51.72    4.53    0.00    4.53
   54.58    4.57    0.00    4.57
   57.45    4.62    0.00    4.62
   60.31    4.65    0.00    4.65
   63.17    4.69    0.00    4.69
   66.03    4.71    0.00    4.71
   70.80    4.74    0.00    4.74
   75.57    4.75    0.00    4.75
   80.34    4.75    0.00    4.75
   85.12    4.73    0.00    4.73
   89.89    4.69    0.00    4.69
   94.66    4.66    0.00    4.66
   99.43    4.60    0.00    4.60
  104.20    4.55    0.00    4.55
  108.97    4.49    0.00    4.49
  159.20    4.69    0.00    4.69
  159.20    4.71    0.00    4.71
  166.22    4.74    0.00    4.74
  170.99    4.76    0.00    4.76
  175.76    4.78    0.00    4.78
  180.54    4.81    0.00    4.81
  185.31    4.83    0.00    4.83
  190.08    4.85    0.00    4.85
  194.85    4.88    0.00    4.88
  199.62    4.90    0.00    4.90
  204.39    4.92    0.00    4.92
  209.16    4.95    0.00    4.95
  213.93    4.97    0.00    4.97
  218.70    5.00    0.00    5.00
  228.25    5.05    0.00    5.05
  237.79    5.09    0.00    5.09
  247.33    5.13    0.00    5.13
  256.87    5.17    0.00    5.17
  266.41    5.21    0.00    5.21
  275.95    5.25    0.00    5.25
  285.50    5.29    0.00    5.29
  290.27    5.31    0.00    5.31
  295.04    5.33    0.00    5.33
  299.81    5.35    0.00    5.35
  304.58    5.37    0.00    5.37
  314.12    5.41    0.00    5.41
  323.67    5.44    0.00    5.44
  333.21    5.48    0.00    5.48
  342.75    5.50    0.00    5.50
  352.29    5.53    0.00    5.53
  361.83    5.56    0.00    5.56
  370.55    5.59    0.00    5.59
   34.84    4.27    0.00    4.27
   37.41    4.29    0.00    4.29
   40.27    4.30    0.00    4.30
   43.13    4.36    0.00    4.36
   46.00    4.42    0.00    4.42
   48.86    4.47    0.00    4.47
   51.72    4.52    0.00    4.52
   54.58    4.57    0.00    4.57
   57.45    4.61    0.00    4.61
   60.31    4.65    0.00    4.65
   63.17    4.68    0.00    4.68
   66.03    4.71    0.00    4.71
   70.81    4.74    0.00    4.74
   75.58    4.75    0.00    4.75
   80.35    4.75    0.00    4.75
   85.12    4.73    0.00    4.73
   89.89    4.71    0.00    4.71
   94.66    4.67    0.00    4.67
   99.43    4.62    0.00    4.62
  104.20    4.57    0.00    4.57
  108.97    4.50    0.00    4.50
  159.35    4.70    0.00    4.70
  166.22    4.74    0.00    4.74
  171.00    4.76    0.00    4.76
  175.77    4.78    0.00    4.78
  180.54    4.81    0.00    4.81
  185.31    4.83    0.00    4.83
  190.08    4.85    0.00    4.85
  194.85    4.88    0.00    4.88
  199.62    4.90    0.00    4.90
  204.39    4.92    0.00    4.92
  209.16    4.95    0.00    4.95
  213.93    4.97    0.00    4.97
  218.70    5.00    0.00    5.00
  228.25    5.05    0.00    5.05
  237.79    5.09    0.00    5.09
  247.33    5.13    0.00    5.13
  256.87    5.17    0.00    5.17
  266.41    5.21    0.00    5.21
  275.96    5.25    0.00    5.25
  285.50    5.29    0.00    5.29
  290.27    5.31    0.00    5.31
  295.04    5.33    0.00    5.33
  299.81    5.35    0.00    5.35
  304.58    5.37    0.00    5.37
  314.12    5.41    0.00    5.41
  323.67    5.44    0.00    5.44
  333.21    5.48    0.00    5.48
  342.75    5.50    0.00    5.50
  352.29    5.53    0.00    5.53
  358.70    5.55    0.00    5.55
   34.50    4.25    0.00    4.25
   37.46    4.29    0.00    4.29
   40.32    4.29    0.00    4.29
   43.19    4.35    0.00    4.35
   46.05    4.41    0.00    4.41
   48.91    4.46    0.00    4.46
   51.77    4.52    0.00    4.52
   54.63    4.56    0.00    4.56
   57.50    4.60    0.00    4.60
   60.36    4.64    0.00    4.64
   63.22    4.68    0.00    4.68
   66.08    4.71    0.00    4.71
   70.85    4.75    0.00    4.75
   75.62    4.76    0.00    4.76
   80.39    4.76    0.00    4.76
   85.16    4.74    0.00    4.74
   89.94    4.72    0.00    4.72
   94.70    4.68    0.00    4.68
   99.47    4.63    0.00    4.63
  104.25    4.58    0.00    4.58
  109.02    4.51    0.00    4.51
  159.50    4.70    0.00    4.70
  166.26    4.74    0.00    4.74
  171.03    4.76    0.00    4.76
  175.80    4.78    0.00    4.78
  180.57    4.81    0.00    4.81
  185.34    4.83    0.00    4.83
  190.11    4.85    0.00    4.85
  194.88    4.88    0.00    4.88
  199.65    4.90    0.00    4.90
  204.42    4.92    0.00    4.92
  209.19    4.95    0.00    4.95
  213.96    4.97    0.00    4.97
  218.73    5.00    0.00    5.00
  228.27    5.05    0.00    5.05
  237.81    5.09    0.00    5.09
  247.35    5.13    0.00    5.13
  256.89    5.17    0.00    5.17
  266.43    5.21    0.00    5.21
  275.97    5.25    0.00    5.25
  285.51    5.29    0.00    5.29
  290.29    5.31    0.00    5.31
  295.06    5.33    0.00    5.33
  299.82    5.35    0.00    5.35
  304.60    5.37    0.00    5.37
  314.14    5.41    0.00    5.41
  323.68    5.44    0.00    5.44
  333.22    5.48    0.00    5.48
  342.76    5.50    0.00    5.50
  352.30    5.53    0.00    5.53
   34.22    4.25    0.00    4.25
   37.52    4.28    0.00    4.28
   40.38    4.28    0.00    4.28
   43.24    4.35    0.00    4.35
   46.10    4.40    0.00    4.40
   48.97    4.46    0.00    4.46
   51.83    4.51    0.00    4.51
   54.69    4.56    0.00    4.56
   57.55    4.60    0.00    4.60
   60.41    4.64    0.00    4.64
   63.27    4.67    0.00    4.67
   66.14    4.71    0.00    4.71
   70.91    4.75    0.00    4.75
   75.68    4.76    0.00    4.76
   80.44    4.76    0.00    4.76
   85.22    4.75    0.00    4.75
   89.98    4.73    0.00    4.73
   94.75    4.69    0.00    4.69
   99.52    4.65    0.00    4.65
  104.29    4.59    0.00    4.59
  109.06    4.52    0.00    4.52
  159.66    4.70    0.00    4.70
  166.30    4.74    0.00    4.74
  171.06    4.76    0.00    4.76
  175.84    4.78    0.00    4.78
  180.60    4.81    0.00    4.81
  185.37    4.83    0.00    4.83
  190.14    4.85    0.00    4.85
  194.91    4.88    0.00    4.88
  199.68    4.90    0.00    4.90
  204.45    4.92    0.00    4.92
  209.22    4.95    0.00    4.95
  213.99    4.97    0.00    4.97
  218.76    5.00    0.00    5.00
  228.30    5.05    0.00    5.05
  237.84    5.09    0.00    5.09
  247.38    5.13    0.00    5.13
  256.92    5.17    0.00    5.17
  266.45    5.21    0.00    5.21
  275.99    5.25    0.00    5.25
  285.53    5.29    0.00    5.29
  290.30    5.31    0.00    5.31
  295.07    5.33    0.00    5.33
  299.84    5.35    0.00    5.35
  304.61    5.37    0.00    5.37
  314.15    5.41    0.00    5.41
  323.69    5.44    0.00    5.44
  333.23    5.48    0.00    5.48
   34.02    4.23    0.00    4.23
   37.52    4.27    0.00    4.27
   40.38    4.27    0.00    4.27
   43.24    4.34    0.00    4.34
   46.10    4.40    0.00    4.40
   48.97    4.45    0.00    4.45
   51.83    4.50    0.00    4.50
   54.69    4.55    0.00    4.55
   57.55    4.60    0.00    4.60
   60.41    4.63    0.00    4.63
   63.27    4.67    0.00    4.67
   66.14    4.71    0.00    4.71
   70.91    4.74    0.00    4.74
   75.67    4.76    0.00    4.76
   80.44    4.77    0.00    4.77
   85.21    4.76    0.00    4.76
   89.98    4.74    0.00    4.74
   94.75    4.70    0.00    4.70
   99.52    4.66    0.00    4.66
  104.29    4.61    0.00    4.61
  109.06    4.53    0.00    4.53
  159.81    4.70    0.00    4.70
  166.29    4.74    0.00    4.74
  171.06    4.76    0.00    4.76
  175.83    4.78    0.00    4.78
  180.60    4.81    0.00    4.81
  185.37    4.83    0.00    4.83
  190.14    4.85    0.00    4.85
  194.91    4.88    0.00    4.88
  199.68    4.90    0.00    4.90
  204.45    4.92    0.00    4.92
  209.22    4.95    0.00    4.95
  213.99    4.97    0.00    4.97
  218.76    5.00    0.00    5.00
  228.30    5.05    0.00    5.05
  237.84    5.09    0.00    5.09
  247.38    5.13    0.00    5.13
  256.92    5.17    0.00    5.17
  266.45    5.21    0.00    5.21
  275.99    5.25    0.00    5.25
  285.53    5.29    0.00    5.29
  290.30    5.31    0.00    5.31
  295.07    5.33    0.00    5.33
  299.84    5.35    0.00    5.35
  304.61    5.37    0.00    5.37
  314.15    5.41    0.00    5.41
  323.13    5.44    0.00    5.44
   33.81    4.22    0.00    4.22
   37.61    4.26    0.00    4.26
   40.47    4.26    0.00    4.26
   43.33    4.33    0.00    4.33
   46.19    4.39    0.00    4.39
   49.05    4.44    0.00    4.44
   51.91    4.49    0.00    4.49
   54.77    4.54    0.00    4.54
   57.63    4.59    0.00    4.59
   60.49    4.63    0.00    4.63
   63.35    4.67    0.00    4.67
   66.22    4.70    0.00    4.70
   70.98    4.74    0.00    4.74
   75.75    4.76    0.00    4.76
   80.52    4.77    0.00    4.77
   85.29    4.77    0.00    4.77
   90.06    4.74    0.00    4.74
   94.83    4.71    0.00    4.71
   99.59    4.67    0.00    4.67
  104.36    4.62    0.00    4.62
  109.13    4.55    0.00    4.55
  113.90    4.50    0.00    4.50
  159.96    4.70    0.00    4.70
  166.35    4.74    0.00    4.74
  171.12    4.76    0.00    4.76
  175.89    4.78    0.00    4.78
  180.66    4.81    0.00    4.81
  185.42    4.83    0.00    4.83
  190.19    4.85    0.00    4.85
  194.96    4.88    0.00    4.88
  199.73    4.90    0.00    4.90
  204.50    4.92    0.00    4.92
  209.27    4.95    0.00    4.95
  214.03    4.97    0.00    4.97
  218.80    5.00    0.00    5.00
  228.34    5.05    0.00    5.05
  237.88    5.09    0.00    5.09
  247.41    5.13    0.00    5.13
  256.95    5.17    0.00    5.17
  266.49    5.21    0.00    5.21
  276.02    5.25    0.00    5.25
  285.56    5.29    0.00    5.29
  290.33    5.31    0.00    5.31
  295.10    5.33    0.00    5.33
  299.87    5.35    0.00    5.35
  304.63    5.37    0.00    5.37
  311.27    5.41    0.00    5.41
   34.89    4.22    0.00    4.22
   37.75    4.26    0.00    4.26
   40.61    4.26    0.00    4.26
   43.47    4.32    0.00    4.32
   46.33    4.38    0.00    4.38
   49.19    4.43    0.00    4.43
   52.05    4.49    0.00    4.49
   54.91    4.54    0.00    4.54
   57.77    4.59    0.00    4.59
   60.63    4.63    0.00    4.63
   63.49    4.67    0.00    4.67
   66.35    4.70    0.00    4.70
   71.11    4.74    0.00    4.74
   75.88    4.76    0.00    4.76
   80.65    4.77    0.00    4.77
   85.41    4.77    0.00    4.77
   90.18    4.75    0.00    4.75
   94.95    4.72    0.00    4.72
   99.71    4.69    0.00    4.69
  104.48    4.63    0.00    4.63
  109.25    4.57    0.00    4.57
  114.01    4.51    0.00    4.51
  160.12    4.70    0.00    4.70
  166.44    4.74    0.00    4.74
  171.21    4.76    0.00    4.76
  175.98    4.79    0.00    4.79
  180.74    4.81    0.00    4.81
  185.51    4.83    0.00    4.83
  190.28    4.85    0.00    4.85
  195.04    4.88    0.00    4.88
  199.81    4.90    0.00    4.90
  204.57    4.92    0.00    4.92
  209.34    4.95    0.00    4.95
  214.11    4.97    0.00    4.97
  218.87    5.00    0.00    5.00
  228.41    5.05    0.00    5.05
  237.94    5.09    0.00    5.09
  247.47    5.13    0.00    5.13
  257.01    5.17    0.00    5.17
  266.54    5.21    0.00    5.21
  276.07    5.25    0.00    5.25
  285.61    5.29    0.00    5.29
  290.37    5.31    0.00    5.31
  295.15    5.33    0.00    5.33
  299.90    5.35    0.00    5.35
  304.65    5.37    0.00    5.37
   33.41    4.19    0.00    4.19
   34.96    4.23    0.00    4.23
   37.82    4.25    0.00    4.25
   40.68    4.25    0.00    4.25
   43.54    4.32    0.00    4.32
   46.40    4.37    0.00    4.37
   49.26    4.43    0.00    4.43
   52.12    4.49    0.00    4.49
   54.98    4.53    0.00    4.53
   57.84    4.58    0.00    4.58
   60.70    4.62    0.00    4.62
   63.55    4.66    0.00    4.66
   66.41    4.70    0.00    4.70
   71.18    4.74    0.00    4.74
   75.94    4.76    0.00    4.76
   80.71    4.77    0.00    4.77
   85.48    4.77    0.00    4.77
   90.24    4.76    0.00    4.76
   95.01    4.73    0.00    4.73
   99.77    4.69    0.00    4.69
  104.54    4.64    0.00    4.64
  109.30    4.58    0.00    4.58
  114.07    4.53    0.00    4.53
  160.27    4.70    0.00    4.70
  166.49    4.74    0.00    4.74
  171.25    4.76    0.00    4.76
  176.02    4.79    0.00    4.79
  180.79    4.81    0.00    4.81
  185.55    4.83    0.00    4.83
  190.32    4.86    0.00    4.86
  195.08    4.88    0.00    4.88
  199.85    4.90    0.00    4.90
  204.61    4.92    0.00    4.92
  209.38    4.95    0.00    4.95
  214.15    4.97    0.00    4.97
  218.91    5.00    0.00    5.00
