-200.000000 	 -124.288389 
 0.000000 	 -124.288389 
30.000000 	 -92.353040 
65.000000 	 -81.342024 
115.000000 	 -77.346451 
152.000000 	 -76.911278 
209.000000 	 -73.390843 
231.000000 	 -78.476409 
# Slab 1
235.000000 	 -115.000000 
115.000000 	 -363.000000 
205.000000 	 -392.000000 
330.000000 	 -152.000000 
# 235.000000 	 -115.000000 

# 244.000000 	 -106.903420 
# 266.000000 	 -117.856947 
# 295.000000 	 -128.549676 
336.000000 	 -144.197571 
400.000000 	 -112.771381 
461.000000 	 -123.485338 
519.000000 	 -138.363469 
572.000000 	 -157.284440 
# Slab 2
 577.000000 	 -159.734543 
629.000000 	 -209.062757 
720.000000 	 -189.977791
685.000000 	 -125.386614 
# 577.000000 	 -159.734543 

# 598.000000 	 -149.360272 
# 681.000000 	 -123.485440 
# 701.000000 	 -111.841766 
# 718.000000 	 -106.343364 
755.000000 	 -100.198091 
800.000000 	 -89.624659 
847.000000 	 -85.710301 
936.000000 	 -85.847092 
1270.000000 	 -85.764747 
1270.000000 	 -85.764747 
1270.000000 	  0.000000 
1270.000000 	  0.000000
-200.000000 	  0.000000 
-200.000000 	 -124.288389 


