#Time: 	1.000 My
#x(km)	w(m)	h(m)
1754.88	0.000	84.007
1762.89	0.000	84.007
1770.90	0.000	84.007
1778.92	-0.000	84.007
1786.93	-0.000	84.007
1794.94	-0.000	84.007
1802.95	-0.000	84.007
1810.96	-0.000	84.007
1818.98	-0.000	84.007
1826.99	-0.000	84.007
1835.00	-0.000	84.007
1843.01	-0.000	84.007
1851.02	-0.000	84.007
1859.04	-0.000	84.007
1867.05	-0.000	84.007
1875.06	-0.000	84.007
1883.07	-0.000	84.007
1891.08	-0.000	84.007
1899.10	-0.000	84.007
1907.11	-0.000	84.007
1915.12	-0.000	84.007
1923.13	-0.000	84.007
1931.14	0.000	84.007
1939.16	0.000	84.007
1947.17	0.000	84.007
1955.18	0.000	84.007
1963.19	0.000	84.007
1971.20	0.000	84.007
1979.22	0.000	84.007
1987.23	0.000	84.007
1995.24	0.000	84.007
2003.25	0.000	84.007
2011.27	0.000	84.007
2019.28	0.000	84.007
2027.29	0.000	84.007
2035.30	0.000	84.007
2043.31	0.000	84.007
2051.33	0.000	84.007
2059.34	0.000	84.007
2067.35	0.000	84.007
2075.36	0.000	84.007
2083.37	-0.000	84.007
2091.39	-0.000	84.007
2099.40	-0.000	84.007
2107.41	-0.000	84.007
2115.42	-0.000	84.007
2123.43	-0.000	84.007
2131.45	-0.000	84.007
2139.46	-0.000	84.007
2147.47	-0.000	84.007
2155.48	-0.000	84.007
2163.49	-0.000	84.007
2171.51	-0.000	84.007
2179.52	-0.000	84.007
2187.53	-0.000	84.007
2195.54	-0.000	84.007
2203.55	-0.000	84.007
2211.57	-0.000	84.007
2219.58	-0.000	84.007
2227.59	-0.000	84.007
2235.60	-0.000	84.007
2243.61	0.000	84.007
2251.63	0.000	84.007
2259.64	0.000	84.007
2267.65	0.000	84.007
2275.66	0.000	84.007
2283.67	0.000	84.007
2291.69	0.000	84.007
2299.70	0.000	84.007
2307.71	0.000	84.007
2315.72	0.000	84.007
2323.74	0.000	84.007
2331.75	0.000	84.007
2339.76	0.000	84.007
2347.77	0.000	84.007
2355.78	0.000	84.007
2363.80	0.000	84.007
2371.81	0.000	84.007
2379.82	0.000	84.007
2387.83	0.000	84.007
2395.84	-0.000	84.007
2403.86	-0.000	84.007
2411.87	-0.000	84.007
2419.88	-0.000	84.007
2427.89	-0.000	84.007
2435.90	-0.000	84.007
2443.92	-0.000	84.007
2451.93	-0.000	84.007
2459.94	-0.000	84.007
2467.95	-0.000	84.007
2475.96	-0.000	84.007
2483.98	-0.000	84.007
2491.99	-0.000	84.007
2500.00	-0.000	84.007
