 X, FreeAir: comment                                           
   0.000           4.40
   5.000          -4.89
  10.000         -13.51
  15.000         -17.55
  20.000         -15.38
  25.000          -9.26
  30.000           0.83
  35.000          11.62
  40.000          25.45
  45.000          34.29
  50.000          31.83
  55.000          26.52
  60.000          29.80
  65.000          36.13
  70.000          37.39
  75.000          36.20
  80.000          33.25
  85.000          29.50
  90.000          24.66
  95.000          23.65
 100.000          24.17
 105.000          23.22
 110.000          24.32
 115.000          31.10
 120.000          36.08
 125.000          37.43
 130.000          39.19
 135.000          42.14
 140.000          54.06
 145.000          62.11
 150.000          55.80
 155.000          50.26
 160.000          49.20
 165.000          43.01
 170.000          42.00
 175.000          38.54
 180.000          33.07
 185.000          31.95
 190.000          33.47
 195.000          40.50
 200.000          39.45
 205.000          33.18
 210.000          27.34
 215.000          26.89
 220.000          23.09
 225.000          35.62
 230.000          40.99
 235.000          44.00
 240.000          42.01
 245.000          25.64
 250.000          14.87
 255.000          23.11
 260.000          39.18
 265.000          31.82
 270.000          21.39
 275.000          12.31
 280.000           2.28
 285.000          -7.54
 290.000         -21.31
 295.000         -25.53
 300.000         -27.02
 305.000         -30.99
 310.000         -34.19
 315.000         -36.50
 320.000         -41.68
 325.000         -45.56
 330.000         -54.05
 335.000         -61.48
 340.000         -63.84
 345.000         -61.94
 350.000         -58.52
 355.000         -54.77
 360.000         -50.79
 365.000         -46.70
 370.000         -42.62
 375.000         -38.53
 380.000         -34.62
 385.000         -30.71
 390.000         -26.98
 395.000         -22.93
 400.000         -19.03
 405.000         -15.27
 410.000         -11.68
 415.000          -8.24
 420.000          -5.13
 425.000          -2.32
 430.000           0.11
 435.000           1.51
 440.000           1.04
 445.000           0.38
 450.000          -0.89
 455.000          -2.17
 460.000          -3.84
 465.000          -5.40
 470.000          -6.63
 475.000          -8.93
 480.000         -10.19
 485.000         -11.14
 490.000         -10.96
 495.000         -10.49
 500.000         -18.25
 505.000         -18.08
 510.000         -19.11
 515.000         -26.12
 520.000         -20.81
 525.000         -15.31
 530.000         -18.51
 535.000           6.96
 540.000          43.43
 545.000          72.95
 550.000          76.49
 555.000          73.70
 560.000          60.11
 565.000          60.47
 570.000          42.73
 575.000          32.60
 580.000          28.39
 585.000          13.10
 590.000          12.86
 595.000          11.38
 600.000          11.38
 605.000          12.00
 610.000          10.26
 615.000          10.47
 620.000          13.12
 625.000          14.84
 630.000          14.62
 635.000          12.35
 640.000          11.88
 645.000          12.15
 650.000          14.60
 655.000          15.89
 660.000          16.38
 665.000          14.89
 670.000          13.64
 675.000          13.64
 680.000          14.56
 685.000          14.17
 690.000          16.51
 695.000          20.35
 700.000          23.03
 705.000          22.95
 710.000          21.30
 715.000          15.09
 720.000          10.65
 725.000           9.72
 730.000          11.76
 735.000          13.31
 740.000          13.96
 745.000          12.65
 750.000          11.79
 755.000          12.79
 760.000          15.65
 765.000          16.42
 770.000          15.15
 775.000          14.92
 780.000          15.66
 785.000          18.17
 790.000          19.45
 795.000          19.31
 800.000          18.05
 805.000          17.82
 810.000          18.89
 815.000          19.86
 820.000          19.52
 825.000          18.07
 830.000          17.34
 835.000          15.79
 840.000          13.26
 845.000          10.54
 850.000           8.81
 855.000           7.70
 860.000           7.17
 865.000           5.53
 870.000           2.65
 875.000          -1.22
 880.000          -2.77
 885.000          -1.75
 890.000          -0.19
 895.000           3.84
 900.000           6.11
 905.000           7.82
 910.000           9.12
 915.000           9.80
 920.000          11.58
 925.000          12.38
 930.000          11.73
 935.000          11.39
 940.000          12.95
 945.000          14.23
 950.000          14.77
 955.000          15.54
 960.000          15.54
 965.000          15.48
 970.000          15.66
 975.000          15.91
 980.000          15.42
 985.000          12.70
 990.000           9.82
 995.000           7.35
1000.000           5.70
1005.000           5.89
1010.000           8.24
1015.000          10.90
1020.000          11.64
1025.000          11.48
1030.000          11.20
1035.000          10.81
1040.000          10.59
1045.000          10.33
1050.000          10.17
1055.000          10.10
1060.000          10.51
1065.000          10.06
1070.000           8.65
