            5.000         -157.457            8.125            4.444
            5.000         -162.213            8.142            4.449
            5.000         -166.969            8.157            4.457
            5.000         -171.725            8.170            4.461
            5.000         -176.480            8.189            4.469
            5.000         -181.236            8.202            4.476
            5.000         -185.992            8.218            4.482
            5.000         -190.748            8.229            4.485
            5.000         -195.503            8.245            4.493
            5.000         -200.259            8.261            4.499
            5.000         -205.015            8.271            4.502
            5.000         -209.770            8.291            4.512
            5.000         -214.526            8.298            4.515
            5.000         -219.282            8.312            4.520
            5.000         -228.793            8.342            4.532
            5.000         -238.305            8.366            4.541
            5.000         -247.816            8.394            4.553
            5.000         -257.328            8.418            4.563
            5.000         -266.839            8.441            4.572
            5.000         -276.351            8.466            4.583
            5.000         -285.862            8.488            4.592
            5.000         -290.618            8.503            4.599
            5.000         -295.374            8.509            4.601
            5.000         -300.130            8.523            4.607
            5.000         -304.885            8.533            4.613
            5.000         -314.397            8.526            4.629
            5.000         -323.908            8.557            4.640
            5.000         -333.420            8.581            4.648
            5.000         -342.931            8.605            4.654
            5.000         -352.443            8.635            4.663
            5.000         -361.954            8.658            4.672
            5.000         -371.466            8.687            4.686
            5.000         -380.977            8.707            4.695
            5.000         -390.489            8.731            4.705
            5.000         -400.000            8.759            4.719
           10.000           -1.100            0.000            0.000
           10.000           -2.051            0.000            0.000
           10.000           -2.527            0.000            0.000
           10.000           -3.002            0.000            0.000
           10.000           -3.478            0.000            0.000
           10.000           -3.953            0.000            0.000
           10.000           -4.429            0.000            0.000
           10.000           -4.994            0.000            0.000
           10.000           -5.855            0.000            0.000
           10.000           -6.330            0.000            0.000
           10.000           -6.806            0.000            0.000
           10.000           -7.281            0.000            0.000
           10.000           -8.232            0.000            0.000
           10.000           -9.183            0.000            0.000
           10.000          -10.134            0.000            0.000
           10.000          -11.085            0.000            0.000
           10.000          -12.255            0.000            0.000
           10.000          -12.987            0.000            0.000
           10.000          -13.938            0.000            0.000
           10.000          -14.888            0.000            0.000
           10.000          -16.790            0.000            0.000
           10.000          -18.008            0.000            0.000
           10.000          -20.594            0.000            0.000
           10.000          -23.325            0.000            0.000
           10.000          -24.397            8.107            4.670
           10.000          -26.299            8.097            4.660
           10.000          -28.201            8.097            4.656
           10.000          -30.103            8.089            4.648
           10.000          -32.004            8.078            4.639
           10.000          -33.906            8.075            4.632
           10.000          -35.808            8.066            4.623
           10.000          -38.661            8.055            4.613
           10.000          -41.513            8.046            4.600
           10.000          -44.366            8.054            4.599
           10.000          -47.219            8.089            4.603
           10.000          -50.071            8.082            4.593
           10.000          -52.924            8.065            4.579
           10.000          -55.777            8.067            4.573
           10.000          -58.629            8.055            4.560
           10.000          -61.482            8.048            4.549
           10.000          -64.335            8.040            4.539
           10.000          -67.188            8.039            4.531
           10.000          -71.942            8.021            4.510
           10.000          -76.696            8.010            4.493
           10.000          -81.451            8.004            4.477
           10.000          -86.205            7.991            4.459
           10.000          -90.960            7.988            4.447
           10.000          -95.714            7.977            4.430
           10.000         -100.469            7.982            4.421
           10.000         -105.223            7.979            4.411
           10.000         -109.978            7.991            4.413
           10.000         -113.643            7.995            4.410
           10.000         -119.487            8.031            4.422
           10.000         -124.241            8.037            4.420
           10.000         -128.996            8.049            4.423
           10.000         -133.750            8.065            4.428
           10.000         -138.504            8.075            4.430
           10.000         -143.259            8.083            4.430
           10.000         -148.013            8.098            4.434
           10.000         -152.768            8.107            4.434
           10.000         -157.522            8.122            4.441
           10.000         -162.277            8.143            4.450
           10.000         -167.031            8.152            4.453
           10.000         -171.786            8.168            4.460
           10.000         -176.540            8.189            4.470
           10.000         -181.295            8.197            4.473
           10.000         -186.049            8.216            4.480
           10.000         -190.804            8.230            4.485
           10.000         -195.558            8.242            4.490
           10.000         -200.313            8.259            4.498
           10.000         -205.067            8.271            4.503
           10.000         -209.821            8.287            4.508
           10.000         -214.576            8.298            4.511
           10.000         -219.330            8.313            4.520
           10.000         -228.839            8.338            4.529
           10.000         -238.348            8.367            4.542
           10.000         -247.857            8.392            4.552
           10.000         -257.366            8.415            4.562
           10.000         -266.875            8.441            4.573
           10.000         -276.384            8.463            4.581
           10.000         -285.893            8.489            4.593
           10.000         -290.647            8.500            4.596
           10.000         -295.402            8.510            4.602
           10.000         -300.156            8.521            4.607
           10.000         -304.911            8.531            4.610
           10.000         -314.420            8.527            4.631
           10.000         -323.929            8.553            4.638
           10.000         -333.438            8.581            4.646
           10.000         -342.946            8.606            4.655
           10.000         -352.455            8.634            4.663
           10.000         -361.964            8.657            4.672
           10.000         -371.473            8.686            4.686
           10.000         -380.982            8.707            4.695
           10.000         -390.491            8.731            4.705
           10.000         -400.000            8.759            4.718
           15.000           -1.132            0.000            0.000
           15.000           -2.083            0.000            0.000
           15.000           -2.559            0.000            0.000
           15.000           -3.034            0.000            0.000
           15.000           -3.509            0.000            0.000
           15.000           -3.985            0.000            0.000
           15.000           -4.460            0.000            0.000
           15.000           -5.171            0.000            0.000
           15.000           -5.886            0.000            0.000
           15.000           -6.362            0.000            0.000
           15.000           -6.837            0.000            0.000
           15.000           -7.313            0.000            0.000
           15.000           -8.264            0.000            0.000
           15.000           -9.214            0.000            0.000
           15.000          -10.165            0.000            0.000
           15.000          -11.116            0.000            0.000
           15.000          -12.223            0.000            0.000
           15.000          -13.018            0.000            0.000
           15.000          -13.968            0.000            0.000
           15.000          -14.919            0.000            0.000
           15.000          -16.821            0.000            0.000
           15.000          -18.101            0.000            0.000
           15.000          -20.624            0.000            0.000
           15.000          -23.421            0.000            0.000
           15.000          -24.427            8.107            4.669
           15.000          -26.329            8.099            4.662
           15.000          -28.231            8.096            4.655
           15.000          -30.132            8.088            4.647
           15.000          -32.034            8.075            4.636
           15.000          -33.936            8.074            4.631
           15.000          -35.837            8.067            4.624
           15.000          -38.690            8.051            4.610
           15.000          -41.542            8.047            4.601
           15.000          -44.395            8.049            4.595
           15.000          -47.247            8.086            4.601
           15.000          -50.099            8.080            4.592
           15.000          -52.952            8.066            4.580
           15.000          -55.804            8.062            4.569
           15.000          -58.657            8.050            4.557
           15.000          -61.509            8.043            4.547
           15.000          -64.362            8.036            4.536
           15.000          -67.214            8.034            4.528
           15.000          -71.968            8.017            4.508
           15.000          -76.722            8.001            4.485
           15.000          -81.476            7.998            4.471
           15.000          -86.231            7.983            4.452
           15.000          -90.985            7.975            4.436
           15.000          -95.739            7.967            4.421
           15.000         -100.493            7.970            4.411
           15.000         -105.247            7.967            4.402
