 Dist, Boug: comment                                           
   0.000          39.28
   5.000          30.63
  10.000          27.80
  15.000          25.71
  20.000          25.43
  25.000          26.32
  30.000          28.77
  35.000          33.73
  40.000          38.86
  45.000          41.49
  50.000          39.97
  55.000          36.65
  60.000          36.57
  65.000          40.37
  70.000          44.37
  75.000          42.00
  80.000          38.38
  85.000          34.82
  90.000          30.67
  95.000          28.79
 100.000          27.51
 105.000          25.84
 110.000          24.45
 115.000          24.44
 120.000          24.60
 125.000          25.83
 130.000          26.28
 135.000          25.06
 140.000          22.93
 145.000          20.73
 150.000          19.85
 155.000          17.96
 160.000          15.21
 165.000          12.59
 170.000           9.34
 175.000           6.44
 180.000           4.55
 185.000           2.55
 190.000          -0.16
 195.000          -2.93
 200.000          -4.57
 205.000          -5.38
 210.000          -5.74
 215.000          -6.40
 220.000          -6.82
 225.000          -8.40
 230.000         -13.08
 235.000         -17.66
 240.000         -20.96
 245.000         -24.43
 250.000         -27.79
 255.000         -33.24
 260.000         -39.00
 265.000         -46.02
 270.000         -54.92
 275.000         -62.72
 280.000         -66.71
 285.000         -66.25
 290.000         -64.55
 295.000         -66.30
 300.000         -65.33
 305.000         -61.13
 310.000         -55.17
 315.000         -52.26
 320.000         -51.87
 325.000         -52.97
 330.000         -57.45
 335.000         -61.83
 340.000         -63.32
 345.000         -60.95
 350.000         -56.79
 355.000         -52.43
 360.000         -47.91
 365.000         -43.41
 370.000         -39.00
 375.000         -34.78
 380.000         -30.74
 385.000         -26.89
 390.000         -23.09
 395.000         -19.11
 400.000         -15.28
 405.000         -11.73
 410.000          -8.28
 415.000          -4.97
 420.000          -2.07
 425.000           0.54
 430.000           2.83
 435.000           4.16
 440.000           3.62
 445.000           2.90
 450.000           1.63
 455.000           0.08
 460.000          -1.67
 465.000          -4.03
 470.000          -6.48
 475.000          -8.72
 480.000         -10.86
 485.000         -13.14
 490.000         -15.30
 495.000         -17.26
 500.000         -18.83
 505.000         -21.45
 510.000         -23.88
 515.000         -25.39
 520.000         -27.06
 525.000         -27.49
 530.000         -26.43
 535.000         -27.21
 540.000         -28.35
 545.000         -28.73
 550.000         -26.62
 555.000         -23.73
 560.000         -20.19
 565.000         -19.43
 570.000         -17.47
 575.000         -16.14
 580.000         -15.24
 585.000         -13.33
 590.000         -12.74
 595.000         -12.03
 600.000         -11.41
 605.000         -10.81
 610.000          -9.99
 615.000          -9.35
 620.000          -8.95
 625.000          -8.47
 630.000          -7.79
 635.000          -6.83
 640.000          -5.96
 645.000          -5.02
 650.000          -4.14
 655.000          -3.08
 660.000          -2.71
 665.000          -2.74
 670.000          -2.53
 675.000          -2.20
 680.000          -1.29
 685.000          -0.45
 690.000           1.11
 695.000           4.16
 700.000           6.29
 705.000           6.31
 710.000           4.44
 715.000          -1.66
 720.000          -7.22
 725.000         -10.61
 730.000          -9.90
 735.000          -6.79
 740.000          -3.57
 745.000          -2.30
 750.000          -2.28
 755.000          -1.27
 760.000           0.13
 765.000           0.78
 770.000          -1.04
 775.000          -2.06
 780.000          -1.55
 785.000           0.29
 790.000           1.12
 795.000          -0.80
 800.000          -2.29
 805.000          -2.74
 810.000          -2.57
 815.000          -1.71
 820.000          -0.59
 825.000          -1.04
 830.000          -2.22
 835.000          -4.22
 840.000          -7.19
 845.000          -9.79
 850.000         -11.30
 855.000         -10.52
 860.000         -10.26
 865.000         -11.78
 870.000         -13.66
 875.000         -15.29
 880.000         -15.95
 885.000         -15.49
 890.000         -13.37
 895.000         -10.57
 900.000          -7.30
 905.000          -4.12
 910.000          -2.27
 915.000          -1.48
 920.000           0.52
 925.000           1.10
 930.000           0.23
 935.000          -0.45
 940.000           0.88
 945.000           1.71
 950.000           1.70
 955.000           1.57
 960.000           1.47
 965.000           1.52
 970.000           2.03
 975.000           2.84
 980.000           3.13
 985.000           1.42
 990.000          -0.79
 995.000          -2.92
1000.000          -4.35
1005.000          -4.05
1010.000          -1.70
1015.000           1.07
1020.000           1.81
1025.000           1.65
1030.000           1.37
1035.000           0.98
1040.000           0.65
1045.000           0.39
1050.000           0.23
1055.000           0.16
1060.000           0.46
1065.000          -0.10
1070.000          -1.51
