Pressure (Pa): comment                                           
       20640
     5.000    -1.945     30.60    39.531     0 0 0 0 11
     5.000    -2.420     40.61    50.948     0 0 0 0 11
     5.000    -2.896     50.54    62.388     0 0 0 0 11
     5.000    -3.371     60.37    73.804     0 0 0 0 11
     5.000    -3.847     70.12    85.245     0 0 0 0 11
     5.000    -4.323     79.78    96.685     0 0 0 0 11
     5.000    -4.818     89.74   108.582     0 0 0 5 11
     5.000    -5.749    106.08   133.851     0 0 0 0 51
     5.000    -6.225    114.28   146.782     0 0 0 0 51
     5.000    -6.700    122.36   159.695     0 0 0 0 51
     5.000    -7.176    130.34   172.642     0 0 0 0 51
     5.000    -8.127    145.97   198.536     0 0 0 0 51
     5.000    -9.078    161.16   224.463     0 0 0 0 51
     5.000   -10.029    175.92   250.423     0 0 0 0 51
     5.000   -10.981    190.25   276.444     0 0 0 0 51
     5.000   -12.288    209.23   312.223     0 0 012 51
     5.000   -12.883    217.63   328.683     0 0 0 0121
     5.000   -13.834    230.80   354.991     0 0 0 0121
     5.000   -14.785    243.70   381.300     0 0 0 0121
     5.000   -16.688    268.68   433.945     0 0 0 0121
     5.000   -17.915    284.20   467.889     0 0 014121
     5.000   -20.492    324.48   541.708     0 0 0 0141
     5.000   -23.229    365.07   620.110     0 0 024141
     5.000   -24.297    380.44   654.960     0 0 0 0241
     5.000   -26.199    407.72   717.007     0 0 0 0241
     5.000   -28.101    434.88   779.027     0 0 0 0241
     5.000   -30.004    461.94   841.053     0 0 0 0241
     5.000   -31.906    488.86   903.014     0 0 0 0241
     5.000   -33.808    515.65   964.948     0 0 0 0241
     5.000   -35.710    542.29  1026.855     0 0 0 0241
     5.000   -38.564    581.99  1119.690     0 0 0 0241
     5.000   -41.417    621.32  1212.434     0 0 0 0241
     5.000   -44.271    660.26  1305.380     0 0 0 0241
     5.000   -47.124    698.76  1398.509     0 0 0 0241
     5.000   -49.978    736.81  1491.639     0 0 0 0241
     5.000   -52.831    774.33  1584.661     0 0 0 0241
     5.000   -55.685    811.30  1677.667     0 0 0 0241
     5.000   -58.538    847.66  1770.593     0 0 0 0241
     5.000   -61.391    883.35  1863.485     0 0 0 0241
     5.000   -64.245    918.34  1956.360     0 0 0 0241
     5.000   -67.098    952.51  2049.166     0 0 0 0241
     5.000   -71.854   1007.53  2203.793     0 0 0 0241
     5.000   -76.610   1059.70  2358.327     0 0 0 0241
     5.000   -81.366   1108.52  2512.809     0 0 0 0241
     5.000   -86.121   1153.39  2667.226     0 0 0 0241
     5.000   -90.877   1193.72  2821.661     0 0 0 0241
     5.000   -95.633   1228.92  2976.108     0 0 0 0241
     5.000  -100.389   1258.59  3130.619     0 0 0 0241
     5.000  -105.144   1282.55  3285.183     0 0 0 0241
